"Species,""Regularization"",""Features"",""nParameters"",""AICc"",""Training.AUC"",""Test.AUC"",""bio13.contribution"",""bio14.contribution"",""bio5.contribution"",""bio6.contribution"",""bio7.contribution"",""topology.contribution"""
"Tomares_romanovi,0.8,"" -h"",7,701.376876610884,0.76275,0.70355,38.0563,34.8368,8.8189,5.4173,4.4495,8.4212"
"Turanana_anisophtalma,0.9,"" -h"",6,875.837513985998,0.8386,0.7923,2.0357,27.1979,44.2476,6.9731,2.6558,16.89"
"Turanana_cytis,0.8,"" -h -q"",5,545.469773796728,0.85345,0.80155,37.513,10.2314,39.6326,5.5686,5.2655,1.7889"
"Turanana_endymion,1.4,"" -h"",13,1662.53284477129,0.8053,0.76915,9.6501,10.0686,34.0675,11.8858,12.3871,21.9409"
"Zizeeria_karsandra,1.3,""autofeature=true"",28.5,658.961965488256,0.7952,0.7212,6.8406,7.5657,9.1104,58.5352,2.1254,15.8228"
"Adscita_obscura,1,"" -h"",6,418.588354375529,0.84745,0.79785,57.8902,14.7007,0.6509,2.285,17.3134,7.1598"
"Aplocera_obsitaria,1.4,""autofeature=true"",14,506.162014050346,0.9163,0.8643,23.5528,27.4686,0.3338,1.8814,29.3495,17.414"
"Aplocera_plagiata,0.7,"" -h"",8,813.902595018193,0.82475,0.74885,4.1281,15.4358,43.3504,1.2279,2.4897,33.3682"
"Brachyglossina_chaspia,1.3,""autofeature=true"",2.5,151.393934792579,0.76665,0.7838,3.2982,15.1516,3.5177,7.2527,32.1894,38.5905"
"Camptogramma_bilineata,0.8,"" -h"",8,709.810838294465,0.82075,0.80375,14.4533,29.2151,6.7802,0.4176,31.0937,18.0401"
"Cataclysme_riguata,0.6,"" -h"",6.5,403.663276851305,0.90355,0.8718,11.43,18.2204,17.2038,0.8987,6.4212,45.8259"
"Catarhoe_arachne,1.3,""autofeature=true"",2.5,150.911056363941,0.7484,0.75085,7.7362,2.5373,38.5325,3.1308,31.3468,6.7163"
"Catarhoe_permixtaria,1.3,"" -h"",5,419.090828696112,0.7608,0.73125,6.9221,38.5058,1.8826,7.4101,2.6474,42.6319"
"Catarhoe_putridaria,1,""autofeature=true"",2,224.172787694065,0.7063,0.71335,1.1276,14.8461,30.362,14.1012,10.8327,28.7303"
"Catarhoe_renodata,1.3,"" -h"",3,265.529175326496,0.8527,0.8533,58.621,7.2144,6.3426,22.1854,0.7376,4.8989"
"Catarhoe_rubidata,1,"" -h -q"",3,273.841581409093,0.8907,0.8843,65.7397,0.0784,1.2398,2.9478,5.4427,24.5517"
"Chiasmia_aestimaria,1.3,"" -h -q"",3,288.94409903199,0.8981,0.90905,0.7472,0.2938,0,54.1231,41.2665,3.5694"
"Cidaria_fulvata,1.2,"" -h -q"",3,269.534226323687,0.8102,0.78965,38.8155,0.1966,15.8238,15.9457,2.5921,26.6264"
"Cosmorhoe_ocellata,0.8,""autofeature=true"",2,168.433894716287,0.73705,0.7197,8.1384,0,44.4908,0.0129,13.6425,33.7154"
"Costaconvexa_polygrammata,0.5,"" -h -q"",4,209.824011436336,0.86105,0.7252,1.4015,38.0977,0.6676,38.9277,17.0137,3.8918"
"Ennomos_quercaria,0.6,"" -h -q"",3,256.885718003768,0.67615,0.79685,1.6841,3.9684,3.9208,2.2651,82.1302,6.0313"
"Entephria_catochra,1.1,""autofeature=true"",2.5,150.030463331635,0.7496,0.74805,0.1404,70.2234,0,5.6662,22.8964,1.0736"
"Euphyia_frustata,0.8,"" -h"",6,532.448856647945,0.7832,0.73805,14.6269,19.5953,45.273,15.9841,1.1012,3.4195"
"Euphyia_obvallata,1,""autofeature=true"",4,192.435568100591,0.72515,0.70545,4.5978,30.4857,18.2052,28.4142,2.376,15.9212"
"Eupithecia_brunneata,1.3,""autofeature=true"",2.5,199.811414518056,0.7474,0.70565,2.4912,0.0583,8.6595,80.3725,6.3599,2.0586"
"Gnopharmia_colchidaria,1.3,"" threshold=false -h"",9.5,1989.25166331755,0.7179,0.7143,28.4005,21.7486,4.1385,25.2784,14.0569,6.3771"
"Gnopharmia_irakensis,0.8,"" -h"",8,865.171006415987,0.7486,0.74775,16.4601,41.7082,0.2653,6.14,2.7978,32.6286"
"Gnopharmia_kasrunensis,0.8,"" -h"",7,773.955174822081,0.7974,0.7793,25.2211,8.4916,0.2121,33.4148,24.2567,8.4035"
"Gnophosema_isometra,1.4,""autofeature=true"",3,217.758573645472,0.77145,0.7396,0.2523,1.4164,10.8271,56.9374,15.3657,15.2011"
"Gnophosema_palumba,0.8,"" -h -q"",3,207.828325486107,0.8391,0.7408,39.4104,6.3815,42.0647,1.9509,4.299,5.8934"
"Gymnoscelis_rufifasciata,1.3,"" -h"",6,417.033838916483,0.8205,0.795,16.0864,10.5128,0.0256,16.3696,47.2041,9.8016"
"Hemidromodes_sabulifera,1.4,"" -h -q"",3,248.673047352079,0.78355,0.74815,52.1109,1.6924,7.8414,0,33.6404,4.7149"
"Heteroculpinia_pasargades,0.5,"" -h"",7,550.030917636721,0.8136,0.7484,29.9423,21.3532,9.1568,2.7803,1.4835,35.284"
"Heteroculpinia_prouti,1,"" -h"",4.5,294.996358682736,0.833,0.79265,0.8276,2.5163,3.1498,0,81.3453,12.161"
"Hydrelia_chionata,1.3,""autofeature=true"",1.5,129.061845256338,0.74675,0.7784,0,65.7616,0,12.316,0.5283,11.3941"
"Hydria_montivagata,1.1,"" -h"",4,384.935942154637,0.71845,0.72465,3.9244,15.0711,15.9949,0,28.9214,36.0882"
"Hyperythra_swinhoei,1.3,""autofeature=true"",2,147.312373470209,0.7876,0.726,0.4455,0.1693,0,65.6742,14.1565,19.5545"
"Idaea_camparia,0.5,""autofeature=true"",4,177.329563408989,0.86465,0.7759,7.4516,14.1191,1.4336,14.1706,57.3311,5.494"
"Idaea_degeneraria,0.5,"" -h -q"",5,281.040348619212,0.85085,0.9047,19.1819,9.1965,1.302,5.7647,57.5139,7.041"
"Idaea_ossiculata,1.5,"" -h"",4,252.114137891547,0.7962,0.7873,5.5483,28.2192,29.9564,22.2409,3.8516,10.1836"
"Idaea_persidis,1,""autofeature=true"",2,168.153654983661,0.74965,0.77675,35.8468,36.7095,1.5427,10.6313,8.6775,6.5922"
"Idaea_proclivata,1,""autofeature=true"",5,106.542540713569,0.9498,0.9814,32.5982,12.5239,0.9286,0,4.0609,49.8883"
"Idaea_rufaria,0.8,"" -h -q"",3.5,247.90649316232,0.8489,0.8207,18.0625,29.5048,18.1368,0.3536,23.4024,10.5398"
"Idaea_rusticata,0.8,""autofeature=true"",3,190.962142984951,0.7194,0.75195,0.3978,34.0996,0.0542,3.0168,47.7164,14.7153"
"Jordanita_anatolica,0.5,"" -h"",7,322.969294284698,0.8638,0.80315,38.0929,5.9752,5.3447,22.7279,10.3765,17.4828"
"Jordanita_graeca,1.2,""autofeature=true"",2,148.906950979231,0.8051,0.7027,59.9946,10.1595,0.3164,8.4087,0,21.1207"
"Jordanita_horni,1.4,"" -q"",2,251.212165362855,0.82595,0.8661,15.9049,3.6155,7.733,14.5222,6.1705,52.0539"
"Jordanita_kurdica,1.3,"" -q"",2,232.916916091667,0.85945,0.7804,18.724,8.8821,3.3138,4.0208,0.0762,64.983"
"Jordanita_notata,1.3,""autofeature=true"",2,147.72478711522,0.7854,0.75785,10,0.1022,0,35.4879,44.4284,9.9814"
