"Species","Regularization","Features","nParameters","AICc","Training.AUC","Test.AUC","bio13.contribution","bio14.contribution","bio5.contribution","bio6.contribution","bio7.contribution","topology.contribution"
"Muschampia_proteides",1.4," -h -q",4,816.142129111159,0.7114,0.7027,61.3955,10.2387,7.4039,9.628,3.0961,8.2379
"Muschampia_staudingeri",1.1," -h",5,311.300965099988,0.83495,0.77765,1.3553,53.3127,21.5861,0,16.1231,7.6229
"Muschampia_tessellum",0.6," -h",6,291.902845413117,0.8771,0.70245,13.912,34.4015,1.4826,6.9884,29.9269,13.2887
"Neolysandra_coelestina",0.5," -h",6.5,284.992374432102,0.92575,0.82935,8.4049,43.5234,25.7641,9.9055,7.9902,4.4119
"Neolysandra_corona",0.9," -h",6,466.828271192106,0.8651,0.83895,22.912,21.5354,0.6044,33.9967,17.0995,3.8519
"Neptis_rivularis",1.1,"autofeature=true",2,152.591801269419,0.90725,0.7415,2.774,0.2376,0,34.5876,62.2196,0.1812
"Nymphalis_polychloros",0.7," -h",7,511.374111080682,0.85035,0.79225,6.2973,17.173,0.6479,4.9759,63.684,7.2217
"Nymphalis_xanthomelas",0.9," -h -q",2,237.590034190032,0.75805,0.74215,52.7451,6.4123,2.045,12.5925,18.8155,7.3896
"Ochlodes_hyrcana",1.4," -h",5,606.417768753882,0.68665,0.70445,24.163,12.2688,0.9553,12.2922,45.7415,4.5792
"Ochlodes_sylvanus",0.5," -h",6,435.363221535271,0.78345,0.7387,23.9004,39.1475,1.7757,2.7927,25.4482,6.9355
"Papilio_alexanor",1.2," -h",7,830.652905210051,0.80925,0.78855,37.8428,21.2508,15.7198,0.6615,14.2202,10.3049
"Papilio_demoleus",0.7," -p -h -q",5,791.849574326885,0.77395,0.72165,2.3931,4.4726,0.8475,75.8029,10.4998,5.9841
"Papilio_machaon",0.7," -p -h",8,1489.41912986476,0.78745,0.755,21.4618,19.4637,0.528,2.8917,46.9646,8.6902
"Parnassius_mnemosyne",1.5," -p -q",33.5,2039.05023461847,0.851,0.80435,31.3494,35.2033,5.5017,5.073,6.9013,15.9714
"Pelopidas_thrax",0.9," -h -q",4,282.188840543134,0.8188,0.7234,12.6756,8.282,65.2007,0.9691,2.4781,10.3945
"Pieris_brassicae",0.7," -h -q",11,1610.46897933411,0.76285,0.76595,4.9555,3.3213,32.1576,12.4745,42.3191,4.772
"Pieris_ergane",0.6," threshold=false -h",11,1554.37697585808,0.7798,0.73115,8.9689,32.6106,20.5873,14.7235,12.2694,10.8403
"Pieris_krueperi",0.5," threshold=false -h",8,985.696748978275,0.8415,0.82975,36.771,15.4967,5.2008,0.247,23.097,19.1876
"Pieris_mannii",1," -h -q",4,309.954069631372,0.8656,0.7394,4.7097,17.0861,0.0012,10.5305,66.6498,1.0226
"Pieris_napi",1.4," -p",38.5,3014.37220175622,0.8177,0.79455,50.127,21.6675,12.5288,4.9105,1.6076,9.1587
"Pieris_persis",1.2," -h -q",2,155.020294333227,0.81165,0.7193,2.9495,1.0998,40.8274,55.0245,0,0.0987
"Pieris_rapae",1.2," -p -q",58,3614.40491923115,0.78095,0.70855,26.4792,15.5227,16.4043,18.1351,13.2037,10.2549
