Names;Design;Priority hotspots;Species richness;Species (min & max);Richness rank;Total coverage of PHs (km2);Protection rank;Potential conservation rank
Chaharshakh;NHA;0, 1;23;16,29;3;154.09;2;3
Chah-e naft;NHA;0;16;14,18;3;400.7;3;3
Chal khatoon;NHA;2;26;25,26;4;35.94;2;4
Charoimagh;NHA;0;0;0,0;4;748.19;4;4
Chelav;NHA;4;24;24,24;2;58.02;1;2
Chelcheli;NHA;3, 4;31;19,38;3;114.29;2;4
Choghakhor;NHA;2;45;45,45;2;24.45;1;2
Dalan;NHA;0;8;7,10;2;302.31;1;2
Dara;NHA;0, 1;20;7,38;3;392.78;4;4
Dareh bagh;NHA;1;22;8,30;4;620.5;4;4
Darkesh&Haaver;NHA;1;12;11,12;2;177.93;1;2
Dashtak;NHA;2;33;27,40;4;531.78;4;4
Deilamane dorfak;NHA;0;12;7,16;3;11.02;2;3
Dohezar & Sehezar;NHA;3, 4;36;18,51;4;424.25;4;5
Doroh;NHA;-2;2;2,3;1;710.08;3;1
East Alamout;NHA;2, 3, 4;33;20,48;2;597.49;2;3
Ejdeha Balouch;NHA;0;4;4,4;1;4.02;1;1
Emamzadeh ali;NHA;4;42;41,44;4;2.25;2;4
Eshkevarat;NHA;0;16;12,22;3;99.53;2;3
Eslami Island;NHA;-1, -2;4;4,5;2;236.88;2;2
Estil-e abbasabad;NHA;0;5;5,5;1;1.43;1;1
Fereidonkenar;NHA;0;5;5,5;1;32.08;1;1
Fileh khas;NHA;0;10;6,17;3;636.77;4;3
Gardeh ghite meymand;NHA;-2;2;1,4;1;2.85;1;1
Garin al shotor;NHA;1, 2;28;25,31;4;490.58;4;4
Ghaleh Shadab;NHA;0;16;11,21;2;38.96;1;2
ghalikoh;NHA;2;42;39,44;5;344.63;4;5
Ghareh gheshlagh;NHA;-1, 0;4;3,6;2;25;2;2
Ghazanghayeh;NHA;-1, 0;4;3,4;3;182.49;4;3
Godeh ghoul;NHA;0, 1;24;23,25;3;147.51;2;2
Golgun;NHA;-2;3;3,4;2;141.06;3;1
Golzar-e neyzar;NHA;1;20;17,22;3;442.49;3;3
Gomishan;NHA;0;0;0,0;4;98.03;2;3
Hana;NHA;3;45;37,51;4;120.42;2;5
Hasanloo Wetland;NHA;-1;2;2,2;1;11.46;1;1
Hashilan;NHA;0;13;13,13;1;20.32;1;1
Hashtad pahlo;NHA;1, 2;26;21,31;4;60.65;3;4
Hengam;NHA;-2;3;2,5;2;184.8;4;2
Hezarjarib;NHA;0, 1;21;10,30;3;108.9;2;3
Hoze soltan;NHA;0;8;4,13;3;78.62;2;3
Jarf;NHA;0, -1;4;4,6;2;256.24;4;2
Jik & Zidar;NHA;-2;4;3,4;2;38.3;2;1
Kaghakonan;NHA;0;9;6,14;3;441.37;3;3
Kalateh;NHA;-2;4;0,7;2;774.94;4;2
Kalilagh;NHA;-1;4;4,5;2;405.42;2;1
Kamarghaleh;NHA;-1;7;4,11;1;234.03;2;1
Kamarsorkh No Hunting Arae;NHA;-2;4;3,6;1;62.82;1;1
Karkas;NHA;3;0;0,0;4;745.1;2;4
Kavdeh;NHA;2, 4, 0;24;18,33;3;0;3;4
Kendiman;NHA;-1;5;4,6;2;230.4;3;3
Kharaghan;NHA;0;15;12,18;3;211.01;3;3
Kharmankoh;NHA;2;25;24,27;4;0.72;2;4
Kharoo;NHA;-1, -2;6;0,11;1;1.07;3;1
Khonar;NHA;2;22;15,30;4;155.21;3;4
Khoramnaz;NHA;4;87;84,92;4;158.16;2;5
Khorasanloo;NHA;0;16;15,19;3;544.35;3;3
Kiasar;NHA;0;20;20,20;1;50.42;1;1
Koh-e Bozorgi Anarak;NHA;-2;0;0,0;1;0.43;1;1
Koh-e gorm-e jahrom;NHA;1;17;14,20;2;37.99;2;2
Koh-e hava va Tang-e khor-e lamerd;NHA;-1, -2;2;1,4;1;1109.01;4;1
Koh-e Mond;NHA;-1;1;0,2;1;384.55;3;1
Koh-e sefid;NHA;4;28;16,40;4;250.44;4;5
Koh-e siyah;NHA;2;32;29,34;3;355.84;2;3
