genus,species,y,x,Endemic
Zygaena,Zygaena haematina,31.746999,51.55421,F
Zygaenoprocris,Zygaenoprocris puschmanni,31.435136,51.554689,T
Zygaenoprocris,Zygaenoprocris puschmanni,31.435136,51.554689,T
Zygaena,Zygaena seitzi,31.42444,51.580427,T
Zygaenoprocris,Zygaenoprocris puschmanni,31.396571,51.510732,T
Zygaenoprocris,Zygaenoprocris persepolis,29.57,51.92,T
Zygaena,Zygaena rosinae,29.743159,55.962572,F
Zygaenoprocris,Zygaenoprocris duskei,29.307527,55.567558,T
Zygaena,Zygaena chirazica,31.41796944,51.53000278,T
Zygaena,Zygaena seitzi,31.397967,51.56782,T
Zygaenoprocris,Zygaenoprocris schahdadiani,31.570816,53.879282,T
Zygaenoprocris,Zygaenoprocris obscura,29.57,51.92,F
Zygaenoprocris,Zygaenoprocris duskei,29.310152,55.568678,T
Zygaenoprocris,Zygaenoprocris duskei,29.310628,55.571197,T
Zygaena,Zygaena kermanensis,29.732301,55.950381,T
Zygaena,Zygaena seitzi,31.438682,51.551843,T
Zygaena,Zygaena chirazica,32.1688,50.17753056,T
Zygaena,Zygaena seitzi,31.405804,51.520257,T
Zygaena,Zygaena fredi,29.57,51.92,T
Zygaena,Zygaena kermanensis,31.85685833,53.75151389,T
Zygaena,Zygaena kermanensis,29.732301,55.950381,T
Zygaena,Zygaena kermanensis,29.823349,56.049588,T
Zygaena,Zygaena cambysea,29.57,51.92,F
Zygaena,Zygaena chirazica,29.57,51.92,T
Zygaena,Zygaena fredi,31.405804,51.520257,T
Zygaena,Zygaena rosinae,29.57,51.92,F
Zygaena,Zygaena seitzi,29.57,51.92,T
Zygaena,Zygaena seitzi,29.628457,51.937567,T
Zygaena,Zygaena seitzi,29.642212,51.923455,T
Zygaena,Zygaena fredi,30.81371944,52.74710833,T
Zygaenoprocris,Zygaenoprocris persepolis,30.399353,51.900132,T
Zygaena,Zygaena haematina,30.400913,51.944942,F
Rhagades,Rhagades brandti,29.628457,51.937567,T
Zygaena,Zygaena bakhtiyari,32.1688,50.17753056,T
Zygaena,Zygaena seitzi,32.1688,50.17753056,T
Zygaena,Zygaena cambysea,32.1688,50.17753056,F
Zygaena,Zygaena bakhtiyari,32.16041,50.183519,T
Zygaena,Zygaena bakhtiyari,32.16041,50.183519,T
Zygaenoprocris,Zygaenoprocris duskei,29.33414167,60.70744167,T
Zygaena,Zygaena kermanensis,29.823349,56.049588,T
Zygaena,Zygaena kermanensis,29.823349,56.049588,T
Zygaena,Zygaena kermanensis,29.81666667,56.10000003,T
Zygaena,Zygaena ginnereissi,29.048367,57.896716,T
Zygaenoprocris,Zygaenoprocris duskei,30.41128889,55.52870556,T
Zygaena,Zygaena kermanensis,30.41128889,55.52870556,T
Zygaena,Zygaena fraxini,34.506894,45.614189,F
Zygaena,Zygaena haberhaueri,38.835548,47.000059,F
Zygaenoprocris,Zygaenoprocris persepolis,29.628457,51.937567,T
Rhagades,Rhagades tarmanni,33.34365,49.205197,T
Zygaena,Zygaena nocturna,30.86395,51.50113056,T
Zygaena,Zygaena haematina,30.87261,51.499354,F
Zygaena,Zygaena cambysea,30.43904167,51.76374444,F
Jordanita,Jordanita christinae,33.34365,49.205197,T
Zygaena,Zygaena seitzi,31.374796,51.530702,T
Zygaena,Zygaena haematina,31.438682,51.551843,F
Zygaena,Zygaena bakhtiyari,32.16041,50.183519,T
Zygaena,Zygaena haematina,30.676563,51.72338,F
Zygaena,Zygaena fredi,34.03371667,48.30673611,T
Zygaenoprocris,Zygaenoprocris obscura,33.486009,48.700231,F
Zygaena,Zygaena fredi,32.154344,50.190157,T
Zygaena,Zygaena cambysea,32.139456,50.200259,F
Zygaena,Zygaena escalerai,34.823828,48.187211,F
Zygaenoprocris,Zygaenoprocris obscura,29.628457,51.937567,F
Jordanita,Jordanita anatolica,33.486009,48.700231,F
Zygaena,Zygaena seitzi,29.642212,51.923455,T
Zygaena,Zygaena seitzi,29.642212,51.923455,T
Zygaena,Zygaena fredi,29.642212,51.923455,T
Zygaena,Zygaena chirazica,29.642212,51.923455,T
Zygaena,Zygaena chirazica,29.642212,51.923455,T
Zygaena,Zygaena rosinae,29.642212,51.923455,F
Zygaenoprocris,Zygaenoprocris taftana,30.45110278,53.45861944,T
Zygaenoprocris,Zygaenoprocris duskei,29.821165,53.601649,T
Zygaena,Zygaena kermanensis,29.716816,53.918298,T
Jordanita,Jordanita anatolica,29.650752,52.469638,F
Jordanita,Jordanita anatolica,29.585539,52.629689,F
Zygaena,Zygaena haematina,29.626232,52.016385,F
Zygaena,Zygaena haematina,32.675573,50.137115,F
Zygaena,Zygaena turkmenica,36.274436,59.115152,F
Zygaena,Zygaena turkmenica,35.500104,59.260229,F
Zygaena,Zygaena dorycnii,36.52217222,59.45242222,F
Zygaena,Zygaena esseni,36.600168,59.53802,T
Zygaena,Zygaena haberhaueri,36.10581667,51.30811944,F
Zygaena,Zygaena tamara,36.102435,51.303229,F
Jordanita,Jordanita horni,35.76959167,51.12144444,F
Zygaena,Zygaena cambysea,36.074924,51.294235,F
Zygaena,Zygaena rosinae,36.074924,51.294235,F
Zygaena,Zygaena carniolica,36.07911111,51.38822222,F
Zygaena,Zygaena carniolica,36.074924,51.294235,F
Zygaena,Zygaena ecki,36.074924,51.294235,T
Zygaena,Zygaena dorycnii,35.90666667,52.96935833,F
Zygaena,Zygaena tamara,38.87443611,46.895675,F
Zygaena,Zygaena carniolica,35.861078,52.090169,F
Zygaena,Zygaena dorycnii,36.645974,51.48409,F
Zygaena,Zygaena cambysea,36.015279,51.499357,F
Zygaena,Zygaena rosinae,36.015279,51.499357,F
Zygaena,Zygaena rosinae,36.015279,51.499357,F
Zygaena,Zygaena carniolica,36.015279,51.499357,F
Zygaenoprocris,Zygaenoprocris obscura,36.641029,51.449702,F
Zygaena,Zygaena loti,36.641029,51.449702,F
Zygaena,Zygaena carniolica,36.015279,51.499357,F
Zygaenoprocris,Zygaenoprocris obscura,36.6215,51.47175833,F
Zygaena,Zygaena carniolica,36.167706,50.838764,F
Zygaena,Zygaena carniolica,36.607422,47.311818,F
Zygaena,Zygaena fraxini,38.87443611,46.895675,F
Zygaena,Zygaena minos,38.69069167,46.02635833,F
Jordanita,Jordanita kurdica,38.098637,47.963443,F
Zygaenoprocris,Zygaenoprocris obscura,37.566993,48.674336,F
Zygaena,Zygaena carniolica,36.69646667,48.71988611,F
Zygaena,Zygaena carniolica,36.56671389,50.35797778,F
